Company Name,Industry,Symbol
ABB India Ltd.,Capital Goods,ABB
Adani Energy Solutions Ltd.,Power,ADANIENSOL
Adani Green Energy Ltd.,Power,ADANIGREEN
Adani Power Ltd.,Power,ADANIPOWER
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
CESC Ltd.,Power,CESC
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL
GE Vernova T&D India Ltd.,Capital Goods,GVT&D
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL
Inox Wind Ltd.,Capital Goods,INOXWIND
JSW Energy Ltd.,Power,JSWENERGY
Jaiprakash Power Ventures Ltd.,Power,JPPOWER
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL
NHPC Ltd.,Power,NHPC
NLC India Ltd.,Power,NLCINDIA
NTPC Ltd.,Power,NTPC
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET
Power Grid Corporation of India Ltd.,Power,POWERGRID
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
Reliance Power Ltd.,Power,RPOWER
SJVN Ltd.,Power,SJVN
Siemens Ltd.,Capital Goods,SIEMENS
Suzlon Energy Ltd.,Capital Goods,SUZLON
Tata Power Co. Ltd.,Power,TATAPOWER
Thermax Ltd.,Capital Goods,THERMAX
Torrent Power Ltd.,Power,TORNTPOWER
Triveni Turbine Ltd.,Capital Goods,TRITURBINE
,,
Adani Green Energy Ltd.,Power,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
